DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ds,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,AIRPORT_DEST,CITY_DEST,STATE_DEST,COUNTRY_DEST,LATITUDE_DEST,LONGITUDE_DEST
5,MQ,2758,N931MQ,ROW,DFW,1110,,,,,85,,,435,,,1335,,,0,1,B,,,,,,2015-01-02 00:00:00,Roswell International Air Center,Roswell,NM,USA,33.301559999999995,-104.53056,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
5,MQ,2981,N847MQ,RIC,ORD,1110,1122.0,12.0,9.0,1131.0,140,122.0,106.0,642,1217.0,7.0,1230,1224.0,-6.0,0,0,,,,,,,2015-01-02 00:00:00,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
5,MQ,3599,N824MQ,SDF,LGA,1110,1115.0,5.0,15.0,1130.0,135,113.0,93.0,659,1303.0,5.0,1325,1308.0,-17.0,0,0,,,,,,,2015-01-02 00:00:00,Louisville International AirportÂ (Standiford Field),Louisville,KY,USA,38.17439,-85.736,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
5,OO,5293,N494CA,DEN,SGU,1110,1109.0,-1.0,12.0,1121.0,104,93.0,78.0,517,1239.0,3.0,1254,1242.0,-12.0,0,0,,,,,,,2015-01-02 00:00:00,Denver International Airport,Denver,CO,USA,39.85841,-104.667,St. George Regional Airport,St George,UT,USA,37.090579999999996,-113.59306000000001
5,OO,3471,N216AG,LGB,SEA,1110,1104.0,-6.0,11.0,1115.0,165,168.0,152.0,965,1347.0,5.0,1355,1352.0,-3.0,0,0,,,,,,,2015-01-02 00:00:00,Long Beach AirportÂ (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931000000001
5,OO,4690,N604SK,SLC,SUN,1110,1105.0,-5.0,16.0,1121.0,75,73.0,54.0,222,1215.0,3.0,1225,1218.0,-7.0,0,0,,,,,,,2015-01-02 00:00:00,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659
5,HA,280,N486HA,LIH,OGG,1110,1105.0,-5.0,8.0,1113.0,45,44.0,32.0,201,1145.0,4.0,1155,1149.0,-6.0,0,0,,,,,,,2015-01-02 00:00:00,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896000000001,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046
5,OO,5480,N969SW,DEN,BFL,1110,1345.0,155.0,24.0,1409.0,152,138.0,110.0,845,1459.0,4.0,1242,1503.0,141.0,0,0,,0.0,0.0,4.0,137.0,0.0,2015-01-02 00:00:00,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677
5,MQ,3222,N680MQ,MSN,DFW,1110,1121.0,11.0,13.0,1134.0,155,175.0,143.0,821,1357.0,19.0,1345,1416.0,31.0,0,0,,20.0,0.0,0.0,11.0,0.0,2015-01-02 00:00:00,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
5,MQ,3225,N833MQ,JFK,DCA,1110,1136.0,26.0,20.0,1156.0,73,80.0,51.0,213,1247.0,9.0,1223,1256.0,33.0,0,0,,7.0,0.0,26.0,0.0,0.0,2015-01-02 00:00:00,John F. Kennedy International AirportÂ (New York International Airport),New York,NY,USA,40.63975,-73.77893,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
5,OO,5417,N946SW,DEN,HYS,1110,,,,,77,,,298,,,1327,,,0,1,C,,,,,,2015-01-02 00:00:00,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403000000001
5,OO,6473,N959SW,DEN,EUG,1110,1141.0,31.0,28.0,1209.0,180,175.0,142.0,996,1331.0,5.0,1310,1336.0,26.0,0,0,,0.0,0.0,19.0,7.0,0.0,2015-01-02 00:00:00,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Eugene AirportÂ (Mahlon Sweet Field),Eugene,OR,USA,44.123259999999995,-123.21869
5,OO,5405,N235SW,CLD,LAX,1110,1109.0,-1.0,13.0,1122.0,51,46.0,27.0,86,1149.0,6.0,1201,1155.0,-6.0,0,0,,,,,,,2015-01-02 00:00:00,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873000000001,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
5,OO,6532,N479CA,DEN,BUR,1110,1126.0,16.0,24.0,1150.0,154,156.0,128.0,850,1258.0,4.0,1244,1302.0,18.0,0,0,,2.0,0.0,16.0,0.0,0.0,2015-01-02 00:00:00,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Bob Hope AirportÂ (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585
5,OO,6561,N885AS,PHX,SBA,1110,1116.0,6.0,19.0,1135.0,99,95.0,71.0,455,1146.0,5.0,1149,1151.0,2.0,0,0,,,,,,,2015-01-02 00:00:00,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001,Santa Barbara Municipal AirportÂ (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037
5,OO,7362,N299SW,CNY,SLC,1110,1103.0,-7.0,9.0,1112.0,69,51.0,40.0,184,1152.0,2.0,1219,1154.0,-25.0,0,0,,,,,,,2015-01-02 00:00:00,Canyonlands Field,Moab,UT,USA,38.75496,-109.75483999999999,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999
5,OO,7398,N270YV,SLC,VEL,1110,1138.0,28.0,11.0,1149.0,53,44.0,30.0,132,1219.0,3.0,1203,1222.0,19.0,0,0,,0.0,0.0,19.0,0.0,0.0,2015-01-02 00:00:00,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992
5,UA,656,N415UA,TPA,ORD,1111,1103.0,-8.0,9.0,1112.0,172,151.0,139.0,1012,1231.0,3.0,1303,1234.0,-29.0,0,0,,,,,,,2015-01-02 00:00:00,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
