DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ds,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,AIRPORT_DEST,CITY_DEST,STATE_DEST,COUNTRY_DEST,LATITUDE_DEST,LONGITUDE_DEST
7,AA,334,N4XMAA,DFW,MFE,915,913.0,-2.0,13.0,926.0,95,92.0,76.0,469,1042.0,3.0,1050,1045.0,-5.0,0,0,,,,,,,2015-01-04 00:00:00,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,McAllen-Miller International AirportÂ (McAllen Miller International),McAllen,TX,USA,26.175829999999998,-98.23861
7,AA,1196,N5CRAA,MIA,EGE,915,950.0,35.0,21.0,1011.0,283,292.0,265.0,1810,1236.0,6.0,1158,1242.0,44.0,0,0,,9.0,0.0,33.0,2.0,0.0,2015-01-04 00:00:00,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177
7,AA,1266,N3CJAA,MIA,RDU,915,948.0,33.0,14.0,1002.0,125,117.0,99.0,700,1141.0,4.0,1120,1145.0,25.0,0,0,,0.0,0.0,7.0,18.0,0.0,2015-01-04 00:00:00,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747
7,AA,1584,N4YRAA,TUS,DFW,915,,,,,130,,,813,,,1225,,,0,1,A,,,,,,2015-01-04 00:00:00,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
7,AA,1524,N499AA,DFW,LAS,915,910.0,-5.0,24.0,934.0,175,180.0,150.0,1055,1004.0,6.0,1010,1010.0,0.0,0,0,,,,,,,2015-01-04 00:00:00,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
7,AA,2316,N3FNAA,STX,MIA,915,915.0,0.0,20.0,935.0,187,191.0,155.0,1139,1110.0,16.0,1122,1126.0,4.0,0,0,,,,,,,2015-01-04 00:00:00,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
7,AS,5,N566AS,DCA,LAX,915,952.0,37.0,13.0,1005.0,355,355.0,329.0,2311,1234.0,13.0,1210,1247.0,37.0,0,0,,37.0,0.0,0.0,0.0,0.0,2015-01-04 00:00:00,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
7,DL,688,N893AT,ATL,ICT,915,922.0,7.0,13.0,935.0,145,135.0,115.0,782,1030.0,7.0,1040,1037.0,-3.0,0,0,,,,,,,2015-01-04 00:00:00,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694,Wichita Dwight D. Eisenhower National AirportÂ (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305
7,DL,972,N130DL,MSP,LAX,915,1000.0,45.0,13.0,1013.0,250,215.0,196.0,1535,1129.0,6.0,1125,1135.0,10.0,0,0,,,,,,,2015-01-04 00:00:00,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
7,DL,1091,N924DN,JAX,ATL,915,938.0,23.0,29.0,1007.0,75,78.0,44.0,270,1051.0,5.0,1030,1056.0,26.0,0,0,,26.0,0.0,0.0,0.0,0.0,2015-01-04 00:00:00,Jacksonville International Airport,Jacksonville,FL,USA,30.494059999999998,-81.68786,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
